"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","sca","sca_per90","sca_passes_live","sca_passes_dead","sca_dribbles","sca_shots","sca_fouled","sca_defense","gca","gca_per90","gca_passes_live","gca_passes_dead","gca_dribbles","gca_shots","gca_fouled","gca_defense"
"0000acda","2012-2013","ITA","1. Serie A","9th","Inter",17,2.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2013-2014","ITA","1. Serie A","20th","Livorno",18,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2014-2015","ITA","1. Serie A","9th","Torino",19,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2015-2016","ITA","1. Serie A","12th","Torino",20,21.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2016-2017","ITA","1. Serie A","9th","Torino",21,22.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2017-2018","ITA","1. Serie A","8th","Fiorentina",22,30.9,82,2.65,72,0,2,5,0,3,5,0.16,4,0,0,1,0,0
"0000acda","2018-2019","ITA","1. Serie A","16th","Fiorentina",23,25.4,54,2.13,43,0,4,4,1,2,3,0.12,3,0,0,0,0,0
"0000acda","2019-2020","ITA","1. Serie A","10th","Fiorentina",24,10.9,27,2.48,25,0,0,1,1,0,2,0.18,1,0,0,1,0,0
"0000acda","2021-2022","ITA","1. Serie A","7th","Fiorentina",26,1.8,1,0.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"00242715","2014-2015","FRA","2. Ligue 2","16th","Valenciennes",18,6.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2015-2016","FRA","2. Ligue 2","12th","Valenciennes",19,22.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2016-2017","FRA","2. Ligue 2","13th","Valenciennes",20,32.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2017-2018","FRA","1. Ligue 1","20th","Metz",21,34.5,14,0.41,11,0,0,1,0,2,1,0.03,1,0,0,0,0,0
"00242715","2018-2019","GER","1. Bundesliga","12th","Mainz 05",22,31,22,0.71,20,0,0,0,1,1,2,0.06,2,0,0,0,0,0
"00242715","2019-2020","GER","1. Bundesliga","13th","Mainz 05",23,33,25,0.76,21,2,0,1,1,0,3,0.09,3,0,0,0,0,0
"00242715","2020-2021","GER","1. Bundesliga","12th","Mainz 05",24,31.8,38,1.19,25,5,3,2,1,2,2,0.06,2,0,0,0,0,0
