"id","created","name","position","foot","height","weight","dob","cityob","countryob","nt","club","age"
"0000acda","2021-12-30 16:48:50","Marco Benassi","MF (CM, right)","77% Right",184,80,"September 8, 1994","Province of Modena","Italy",NULL,"Fiorentina",27
"00242715","2021-12-30 16:39:22","Moussa Niakhate","DF-FW (CB, left)","86% Left",190,82,"March 8, 1996","Roubaix","France",NULL,"Mainz 05",25
"00242b75","2021-12-30 16:39:24","Leandro Barreiro Martins","MF (CM)","82% Right",174,65,"January 3, 2000","Luxembourg","Luxembourg","Luxembourg","Mainz 05",21
"00459419","2021-12-30 16:50:13","Marko Arnautović","FW-MF (AM-WM)","85% Right",192,83,"April 19, 1989","Vienna","Austria","Austria","Bologna",32
"004d185e","2021-12-30 16:10:09","Tete Morente","MF","85% Right",175,71,"December 4, 1996","La Línea de la Concepción","Spain",NULL,"Elche",25
"00638016","2021-12-30 16:21:25","Léo Pétrot","DF","85% Left",178,70,"April 15, 1997","Saint-Étienne","France",NULL,"Lorient",24
"00672803","2021-12-30 16:43:07","Lasse Günther","FW","Left",NULL,NULL,"March 21, 2003",NULL,NULL,NULL,"Augsburg",18
"007414dd","2021-12-30 16:22:36","Samuel Edozie","FW",NULL,NULL,NULL,"January 28, 2003","England","United Kingdom",NULL,"Manchester City",18
"0076ab7f","2021-12-30 16:01:31","Nemanja Gudelj","MF (CM-DM)","95% Right",187,73,"November 16, 1991","Belgrade","Serbia","Serbia","Sevilla",30
"007faf7a","2021-12-30 16:13:05","Lucas Da Cunha","FW","87% Left",172,60,"June 9, 2001","Roanne","France",NULL,"Nice",20
"00891164","2021-12-30 16:19:52","Cédric Hountondji","DF (CB)","83% Right",194,85,"January 19, 1994","Toulouse","France","Benin","Clermont Foot",27
"00963611","2021-12-30 16:43:12","Konstantinos Mavropanos","DF (CB, right)","82% Right",191,78,"December 11, 1997","Athens","Greece","Greece","Stuttgart",24
"009a4f60","2021-12-30 16:38:25","Julian Ryerson","DF-MF","84% Right",183,84,"November 17, 1997","Lyngdal","Norway","Norway","Union Berlin",24
"00a8d210","2021-12-30 16:16:08","Przemysław Frankowski","DF-FW-MF (AM-WM)","84% Right",175,68,"April 12, 1995","Gdańsk","Poland","Poland","Lens",26
"00b28772","2021-12-30 16:09:11","Nemanja Maksimović","MF (CM-DM)","90% Right",189,75,"January 26, 1995","Belgrade","Serbia","Serbia","Getafe",26
"0107757e","2021-12-30 16:06:03","Filip Jörgensen","GK","Right",190,77,"April 16, 2002","Lomma","Sweden",NULL,"Villarreal",19
"0118c54c","2021-12-30 16:16:37","Anthony Caci","DF-MF (FB)","68% Right",184,70,"July 1, 1997","Forbach","France",NULL,"Strasbourg",24
"01226327","2021-12-30 16:27:32","Ryan Bertrand","DF-MF (FB, left)","92% Left",179,85,"August 5, 1989","Southwark","England","England","Leicester City",32
"014b57f5","2021-12-30 16:02:55","Sergio Moreno","FW",NULL,NULL,NULL,"January 1, 1999",NULL,NULL,NULL,"Rayo Vallecano",22
"0154d290","2021-12-30 16:48:15","Felix Afena-Gyan","FW","Right",NULL,NULL,"January 19, 2003","Sunyani","Ghana",NULL,"Roma",18
"0170fb91","2021-12-30 16:16:37","Samba Sow","MF (DM)","Right",185,75,"April 29, 1989","Bamako Region","Mali","Mali","Lens",32
"0174ba21","2021-12-30 16:43:53","Robin Hack","FW-MF","86% Right",176,68,"August 27, 1998","Pforzheim","Germany",NULL,"Arminia",23
"01834aa0","2021-12-30 16:41:59","Sebastiaan Bornauw","DF (CB)","88% Right",191,81,"March 22, 1999","Wemmel","Belgium","Belgium","Wolfsburg",22
"01870104","2021-12-30 16:19:46","Mohamed Bayo","FW","87% Right",188,83,"June 4, 1998","Clermont-Ferrand","France","Guinea","Clermont Foot",23
"01962d0d","2021-12-30 16:31:21","Joe Gelhardt","FW","Right",172,66,"May 4, 2002","Liverpool","England",NULL,"Leeds United",19
"01b8a2b2","2021-12-30 16:47:10","Wojciech Szczęsny","GK","88% Right",195,87,"April 18, 1990","Warsaw","Poland","Poland","Juventus",31
"01bbb0ad","2021-12-30 16:10:54","Alan Godoy","FW",NULL,NULL,NULL,"May 4, 2003","Las Palmas de Gran Canaria","Spain",NULL,"Alavés",18
"01c3aff5","2021-12-30 16:47:27","Weston McKennie","MF (CM)","80% Right",185,79,"August 28, 1998","Little Elm","Texas","United States","Juventus",23
"01eb744d","2021-12-30 16:03:06","Ángel Correa","FW-MF (AM-WM, right)","81% Right",173,70,"March 9, 1995","Rosario","Argentina","Argentina","Atlético Madrid",26
"01efac19","2021-12-30 16:52:12","Antonín Barák","FW-MF (AM-CM)","85% Left",190,86,"December 3, 1994","Příbram","Czech Republic","Czech Republic","Verona",27
"02319ad7","2021-12-30 16:09:23","Jaime Mata","FW","83% Right",185,83,"October 24, 1988","Madrid","Spain","Spain","Getafe",33
"02aed921","2021-12-30 16:22:39","Cieran Slicker","GK","Right",187,73,"September 15, 2002","Scotland","United Kingdom",NULL,"Manchester City",19
"02b29014","2021-12-30 16:30:38","Abdoulaye Doucouré","MF (CM-DM)","87% Right",180,60,"January 1, 1993","Meulan-en-Yvelines","France",NULL,"Everton",28
"02bcaf8e","2021-12-30 16:17:25","Bilal Brahimi","FW","Left",NULL,NULL,"March 14, 2000","Paris","France",NULL,"Reims",21
"02c15616","2021-12-30 16:03:00","Marcos Llorente","MF","92% Right",182,71,"January 30, 1995","Madrid","Spain","Spain","Atlético Madrid",26
"02caf6e0","2021-12-30 16:49:14","Manuel Lazzari","DF-MF (WM, right)","85% Right",174,67,"November 29, 1993","Valdagno","Italy","Italy","Lazio",28
"02e63f80","2021-12-30 16:13:10","Teddy Boulhendi","GK","Right",185,82,"April 9, 2001","Martigues","France",NULL,"Nice",20
"02ef8778","2021-12-30 16:06:36","Raúl de Tomás","FW","79% Right",180,72,"October 17, 1994","Madrid","Spain","Spain","Espanyol",27
"03049c8c","2021-12-30 16:06:48","Keidi Bare","MF","90% Right",174,59,"August 28, 1997","Fier","Albania","Albania","Espanyol",24
"0313a347","2021-12-30 16:29:00","Ezri Konsa","DF-FW (CB, right)","88% Right",183,77,"October 23, 1997","London","England",NULL,"Aston Villa",24
"032f894e","2021-12-30 16:15:49","Renato Sanches","MF (CM)","90% Right",176,75,"August 18, 1997","Lisbon","Portugal","Portugal","Lille",24
"037130ca","2021-12-30 16:41:35","Robert Tesche","MF (DM)","Right",180,74,"May 27, 1987","Wismar","Germany",NULL,"Bochum",34
"0375723e","2021-12-30 16:51:21","Simone Verdi","FW-MF","51% Left",171,61,"July 12, 1992","Broni","Italy","Italy","Torino",29
"037dbd30","2021-12-30 16:11:34","Son","DF","86% Right",179,73,"March 30, 1994","Seville","Spain",NULL,"Levante",27
"037f2523","2021-12-30 16:21:54","Jean-Philippe Krasso","FW","Left",187,82,"July 17, 1997","Stuttgart","Germany",NULL,"Saint-Étienne",24
"039ae103","2021-12-30 16:09:45","Rubén Yáñez","GK","88% Right",190,81,"October 12, 1993","Blanes","Spain",NULL,"Getafe",28
"03e91055","2021-12-30 16:19:49","Jason Berthomier","MF (AM)","92% Left",175,68,"January 6, 1990","Montluçon","France",NULL,"Clermont Foot",31
"03f946ed","2021-12-30 16:46:23","Andrea Petagna","FW","68% Left",188,85,"June 30, 1995","Trieste","Italy","Italy","Napoli",26
"0420d84f","2021-12-30 16:30:30","Séamus Coleman","DF-MF (CB-FB, right)","84% Right",177,67,"October 11, 1988","Donegal","Republic of Ireland","Republic of Ireland","Everton",33
"042e8a49","2021-12-30 16:34:40","Kingsley Coman","FW-MF (AM-WM)","78% Right",178,71,"June 13, 1996","Paris","France","France","Bayern Munich",25
"0442183b","2021-12-30 16:28:53","Nathaniel Clyne","DF (FB, right)","94% Right",175,67,"April 5, 1991","Stockwell","England","England","Crystal Palace",30
"0489bb30","2021-12-30 16:55:17","Eddie Salcedo","FW","89% Right",178,74,"October 1, 2001","Genoa","Italy",NULL,"Spezia",20
"048a1cbc","2021-12-30 16:35:16","Raphaël Guerreiro","DF-MF (FB-WM, left)","94% Left",170,67,"December 22, 1993","Le Blanc-Mesnil","France","Portugal","Dortmund",28
"04965583","2021-12-30 16:06:40","Aleix Vidal","DF-MF (WM, right)","89% Right",175,68,"August 21, 1989","Valls","Spain","Spain","Espanyol",32
"04ac78d2","2021-12-30 16:21:38","Bamo Meïté","MF",NULL,183,NULL,"June 20, 2001",NULL,NULL,NULL,"Lorient",20
"04ac8285","2021-12-30 16:04:54","Jasper Cillessen","GK","88% Right",187,82,"April 22, 1989","Gemeente Nijmegen","Netherlands","Netherlands","Valencia",32
"04b40c58","2021-12-30 16:55:21","Nicolò Bertola","DF",NULL,NULL,NULL,"March 23, 2003",NULL,NULL,NULL,"Spezia",18
"04e17fd5","2021-12-30 16:01:20","Youssef En-Nesyri","FW","85% Left",192,77,"June 1, 1997","Fes-Medina","Morocco","Morocco","Sevilla",24
"05439de2","2021-12-30 16:00:28","David Alaba","DF-MF (CB-CM-FB, left)","88% Left",180,72,"June 24, 1992","Vienna","Austria","Austria","Real Madrid",29
"054849d2","2021-12-30 16:42:49","Iago","DF (FB, left)","82% Left",182,68,"March 23, 1997","Monte Azul Paulista","Brazil",NULL,"Augsburg",24
"056269d7","2021-12-30 16:04:22","Óscar Mingueza","DF","88% Right",184,80,"May 13, 1999","Santa Perpètua de Mogoda","Spain","Spain","Barcelona",22
"0562b7f1","2021-12-30 16:28:32","Odsonne Édouard","FW","87% Right",187,83,"January 16, 1998","Kourou","French Guiana",NULL,"Crystal Palace",23
"056d2d95","2021-12-30 16:38:23","Christopher Trimmel","DF-FW-MF (AM-FB-WM, right)","88% Right",189,80,"February 24, 1987","Oberpullendorf","Austria","Austria","Union Berlin",34
"05ba9d7c","2021-12-30 16:43:23","Tanguy Coulibaly","MF","87% Left",175,72,"February 18, 2001","Sèvres","France",NULL,"Stuttgart",20
"05d548d8","2021-12-30 16:35:06","Mats Hummels","DF (CB)","65% Right",192,90,"December 16, 1988","Bergisch Gladbach","Germany","Germany","Dortmund",33
"05e19d6a","2021-12-30 16:45:10","Franck Kessié","DF-MF (CB-CM-DM)","81% Right",183,76,"December 19, 1996","Ouragahio","Côte d'Ivoire","Côte d'Ivoire","Milan",25
"05e8ca6d","2021-12-30 16:29:23","Cameron Archer","FW",NULL,175,NULL,"July 21, 2001","England","United Kingdom",NULL,"Aston Villa",20
"05f2f323","2021-12-30 16:48:21","Maissa Ndiaye","DF","Right",NULL,NULL,"January 28, 2002","Dakar","Senegal",NULL,"Roma",19
"05f99a4a","2021-12-30 16:39:20","Jonathan Burkardt","FW","79% Right",181,76,"July 11, 2000","Darmstadt","Germany",NULL,"Mainz 05",21
"061e8e23","2021-12-30 16:42:04","Maximilian Philipp","FW-MF (AM)","79% Right",184,77,"March 1, 1994","Land Berlin","Germany",NULL,"Wolfsburg",27
"0630eb63","2021-12-30 16:13:39","Nemanja Radonjić","FW-MF","89% Right",178,70,"February 15, 1996","Niš","Serbia","Serbia","Benfica",25
"065dc209","2021-12-30 16:21:17","Terem Moffi","FW","72% Left",188,82,"May 25, 1999","Calabar","Nigeria","Nigeria","Lorient",22
"068f4dec","2021-12-30 16:04:01","Beñat Turrientes","DF","Right",172,68,"January 31, 2002","Beasain","Spain",NULL,"Real Sociedad",19
"06b08c45","2021-12-30 16:50:04","Jacopo Fazzini","MF",NULL,NULL,NULL,"March 16, 2003",NULL,NULL,NULL,"Empoli",18
"06c48679","2021-12-30 16:16:05","Jonathan Gradit","DF (CB-FB, right)","97% Right",180,77,"November 24, 1992","Talence","France",NULL,"Lens",29
"06df8256","2021-12-30 16:14:50","Benoît Badiashile","DF (CB, left)","83% Left",182,67,"March 26, 2001","Limoges","France",NULL,"Monaco",20
"070a3904","2021-12-30 16:06:36","Sergi Darder","MF (CM)","93% Right",180,67,"December 22, 1993","Artà","Spain",NULL,"Espanyol",28
"0728bebe","2021-12-30 16:48:41","Gaetano Castrovilli","MF (CM, left)","84% Right",187,78,"February 17, 1997","Canosa di Puglia","Italy","Italy","Fiorentina",24
"0745b37d","2021-12-30 16:33:41","Teemu Pukki","FW","83% Right",180,77,"March 29, 1990","Kotka","Finland","Finland","Norwich City",31
"076bb352","2021-12-30 16:31:27","Liam McCarron","DF","Left",176,61,"March 7, 2001","England","United Kingdom",NULL,"Leeds United",20
"07767f42","2021-12-30 16:51:56","Francesco Magnanelli","MF (CM-DM)","91% Right",181,79,"November 12, 1984","Umbertide","Italy",NULL,"Sassuolo",37
