"id","season","country","comp_level","lg_finish","squad","age","games_gk","games_starts_gk","minutes_gk","minutes_90s","goals_against_gk","goals_against_per90_gk","shots_on_target_against","saves","save_pct","wins_gk","draws_gk","losses_gk","clean_sheets","clean_sheets_pct","pens_att_gk","pens_allowed","pens_saved","pens_missed_gk","pens_save_pct"
"01b8a2b2","2009-2010","ENG","3. League One","9th","Brentford",19,28,28,2495,27.7,30,1.08,169,139,82.2,9,12,6,10,35.7,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2010-2011","ENG","1. Premier League","4th","Arsenal",20,15,15,1350,15,19,1.27,65,46,70.8,6,5,4,6,40,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2011-2012","ENG","1. Premier League","3rd","Arsenal",21,38,38,3420,38,49,1.29,135,86,63.7,21,7,10,13,34.2,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2012-2013","ENG","1. Premier League","4th","Arsenal",22,25,25,2250,25,24,0.96,99,75,75.8,14,7,4,10,40,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2013-2014","ENG","1. Premier League","4th","Arsenal",23,37,37,3330,37,41,1.11,147,106,72.1,23,7,7,16,43.2,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2014-2015","ENG","1. Premier League","3rd","Arsenal",24,17,17,1498,16.6,21,1.26,63,42,66.7,7,6,4,3,17.6,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2015-2016","ITA","1. Serie A","3rd","Roma",25,34,34,3060,34,34,1,130,96,73.8,22,10,2,8,23.5,NULL,NULL,NULL,NULL,NULL
"01b8a2b2","2016-2017","ITA","1. Serie A","2nd","Roma",26,38,38,3420,38,38,1,154,116,76.6,28,3,7,14,36.8,4,2,2,0,50
"01b8a2b2","2017-2018","ITA","1. Serie A","1st","Juventus",27,17,17,1530,17,9,0.53,34,24,73.5,13,3,1,11,64.7,0,0,0,0,NULL
"01b8a2b2","2018-2019","ITA","1. Serie A","1st","Juventus",28,28,28,2520,28,20,0.71,78,59,75.6,22,5,1,11,39.3,3,1,1,1,50
"01b8a2b2","2019-2020","ITA","1. Serie A","1st","Juventus",29,29,29,2591,28.8,33,1.15,120,95,79.2,19,4,6,11,37.9,10,8,1,1,11.1
"01b8a2b2","2020-2021","ITA","1. Serie A","4th","Juventus",30,30,30,2677,29.7,32,1.08,95,67,70.5,16,8,6,5,16.7,6,4,2,0,33.3
"01b8a2b2","2021-2022","ITA","1. Serie A","5th","Juventus",31,16,16,1440,16,13,0.81,44,32,72.7,8,4,4,7,43.8,2,1,1,0,50
"02aed921","2020-2021","ENG","Jr. PL2 — Div. 1","1st","Manchester City",17,12,11,991,11,NULL,NULL,NULL,NULL,NULL,6,4,1,2,18.2,1,1,0,0,0
"02aed921","2021-2022","ENG","Jr. PL2 — Div. 1","3rd","Manchester City",18,7,7,630,7,NULL,NULL,NULL,NULL,NULL,2,2,3,1,14.3,0,0,0,0,NULL
"039ae103","2013-2014","ESP","2. Segunda División","20th","Real Madrid B",19,4,3,336,3.7,9,2.41,21,12,57.1,1,0,3,1,33.3,NULL,NULL,NULL,NULL,NULL
"039ae103","2019-2020","ESP","2. Segunda División","1st","Huesca",25,6,6,540,6,7,1.17,18,12,66.7,3,1,2,2,33.3,1,1,0,0,0
"039ae103","2020-2021","ESP","1. La Liga","15th","Getafe",26,10,10,900,10,12,1.2,30,19,63.3,3,3,4,4,40,1,1,0,0,0
"04ac8285","2010-2011","NED","1. Dutch Eredivisie","11th","NEC Nijmegen",21,31,31,2790,31,49,1.58,182,133,73.1,8,13,10,7,22.6,NULL,NULL,NULL,NULL,NULL
"04ac8285","2011-2012","NED","1. Dutch Eredivisie","1st","Ajax",22,4,1,156,1.7,1,0.58,7,6,85.7,1,2,0,0,0,NULL,NULL,NULL,NULL,NULL
"04ac8285","2011-2012","NED","1. Dutch Eredivisie","8th","NEC Nijmegen",22,3,3,270,3,6,2,16,10,62.5,1,1,1,1,33.3,NULL,NULL,NULL,NULL,NULL
"04ac8285","2012-2013","NED","1. Dutch Eredivisie","1st","Ajax",23,5,4,401,4.5,3,0.67,18,15,83.3,3,0,1,2,50,NULL,NULL,NULL,NULL,NULL
"04ac8285","2013-2014","NED","1. Dutch Eredivisie","1st","Ajax",24,25,24,2205,24.5,13,0.53,82,69,84.1,16,7,2,14,58.3,NULL,NULL,NULL,NULL,NULL
"04ac8285","2013-2014","NED","2. Eerste Divisie","14th","Jong Ajax",24,3,3,270,3,5,1.67,15,10,66.7,1,0,2,0,0,NULL,NULL,NULL,NULL,NULL
"04ac8285","2014-2015","NED","1. Dutch Eredivisie","2nd","Ajax",25,32,32,2880,32,24,0.75,141,117,83,20,8,4,12,37.5,NULL,NULL,NULL,NULL,NULL
"04ac8285","2014-2015","NED","2. Eerste Divisie","12th","Jong Ajax",25,1,1,90,1,0,0,2,2,100,1,0,0,1,100,NULL,NULL,NULL,NULL,NULL
"04ac8285","2015-2016","NED","1. Dutch Eredivisie","2nd","Ajax",26,33,33,2970,33,21,0.64,103,82,79.6,24,7,2,18,54.5,NULL,NULL,NULL,NULL,NULL
"04ac8285","2016-2017","NED","1. Dutch Eredivisie","2nd","Ajax",27,2,2,180,2,3,1.5,5,2,40,1,1,0,0,0,0,0,0,0,NULL
"04ac8285","2016-2017","ESP","1. La Liga","2nd","Barcelona",27,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,NULL
"04ac8285","2017-2018","ESP","1. La Liga","1st","Barcelona",28,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,0,0,0,0,NULL
"04ac8285","2018-2019","ESP","1. La Liga","1st","Barcelona",29,3,3,270,3,4,1.33,13,10,76.9,1,1,1,1,33.3,1,1,0,0,0
"04ac8285","2019-2020","ESP","1. La Liga","9th","Valencia",30,24,24,2096,23.3,30,1.29,102,78,76.5,10,7,7,5,20.8,8,6,2,0,25
"04ac8285","2020-2021","ESP","1. La Liga","13th","Valencia",31,10,10,900,10,11,1.1,45,33,77.8,5,1,4,3,30,2,1,1,0,50
"04ac8285","2021-2022","ESP","1. La Liga","8th","Valencia",32,12,12,1080,12,19,1.58,53,34,67.9,4,6,2,3,25,3,2,1,0,33.3
"085e71a7","2013-2014","POL","1. Ekstraklasa","10th","Jagiellonia",15,1,1,90,1,4,4,7,3,42.9,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL
"085e71a7","2015-2016","POL","1. Ekstraklasa","11th","Jagiellonia",17,34,34,3060,34,55,1.62,154,99,64.3,13,5,16,8,23.5,NULL,NULL,NULL,NULL,NULL
"085e71a7","2016-2017","ITA","1. Serie A","8th","Fiorentina",18,1,1,90,1,2,2,6,4,66.7,0,1,0,0,0,0,0,0,0,NULL
"085e71a7","2017-2018","ITA","1. Serie A","8th","Fiorentina",19,3,1,217,2.4,8,3.32,18,10,55.6,0,0,2,0,0,0,0,0,0,NULL
"085e71a7","2018-2019","ITA","1. Serie A","18th","Empoli",20,14,14,1260,14,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25
"085e71a7","2018-2019","ITA","1. Serie A","16th","Fiorentina",20,3,2,225,2.5,2,0.8,7,5,71.4,0,1,1,1,50,0,0,0,0,NULL
"085e71a7","2019-2020","ITA","1. Serie A","10th","Fiorentina",21,31,31,2790,31,43,1.39,131,94,71.8,7,12,12,8,25.8,8,6,2,0,25
"085e71a7","2020-2021","ITA","1. Serie A","13th","Fiorentina",22,36,36,3148,35,55,1.57,128,82,63.3,9,12,15,8,22.2,10,8,2,0,20
