"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","cards_yellow","cards_red","cards_yellow_red","fouls","fouled","offsides","crosses","interceptions","tackles_won","pens_won","pens_conceded","own_goals","ball_recoveries","aerials_won","aerials_lost","aerials_won_pct"
"0000acda","2012-2013","ITA","1. Serie A","9th","Inter",17,2.9,1,0,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2013-2014","ITA","1. Serie A","20th","Livorno",18,17,4,1,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2014-2015","ITA","1. Serie A","9th","Torino",19,15.1,8,0,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2015-2016","ITA","1. Serie A","12th","Torino",20,21.2,7,0,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2016-2017","ITA","1. Serie A","9th","Torino",21,22.7,5,0,0,32,18,2,30,30,31,0,0,0,NULL,NULL,NULL,NULL
"0000acda","2017-2018","ITA","1. Serie A","8th","Fiorentina",22,30.9,6,0,0,39,24,4,46,32,39,0,0,0,279,30,59,33.7
"0000acda","2018-2019","ITA","1. Serie A","16th","Fiorentina",23,25.4,6,1,0,27,24,2,31,15,16,0,0,0,192,5,31,13.9
"0000acda","2019-2020","ITA","1. Serie A","10th","Fiorentina",24,10.9,1,0,0,25,7,0,12,4,10,0,0,0,75,5,16,23.8
"0000acda","2021-2022","ITA","1. Serie A","7th","Fiorentina",26,1.8,1,0,0,4,0,0,1,4,3,0,0,0,14,3,4,42.9
"00242715","2014-2015","FRA","2. Ligue 2","16th","Valenciennes",18,6.3,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2015-2016","FRA","2. Ligue 2","12th","Valenciennes",19,22.2,4,0,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2016-2017","FRA","2. Ligue 2","13th","Valenciennes",20,32.7,8,0,0,35,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
"00242715","2017-2018","FRA","1. Ligue 1","20th","Metz",21,34.5,8,0,0,37,38,0,8,43,33,0,1,0,387,28,14,66.7
"00242715","2018-2019","GER","1. Bundesliga","12th","Mainz 05",22,31,3,0,0,38,21,0,9,25,29,0,1,0,356,44,22,66.7
"00242715","2019-2020","GER","1. Bundesliga","13th","Mainz 05",23,33,7,0,0,60,31,1,4,31,41,0,1,0,309,88,42,67.7
"00242715","2020-2021","GER","1. Bundesliga","12th","Mainz 05",24,31.8,10,1,1,51,11,2,27,40,35,0,3,0,291,71,52,57.7
"00242715","2021-2022","GER","1. Bundesliga","9th","Mainz 05",25,12.5,1,0,0,7,9,2,20,32,13,0,0,0,132,31,15,67.4
"00242b75","2016-2017","GER","Jr. U17 Bundesliga","10th","Mainz U17",16,15.1,5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"00242b75","2016-2017","GER","Jr. U19 Bundesliga","10th","Mainz U19",16,3.3,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"00242b75","2017-2018","GER","Jr. U19 Bundesliga","16th","Mainz U19",17,21.1,7,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"00242b75","2018-2019","GER","1. Bundesliga","12th","Mainz 05",18,1,1,0,0,1,0,0,0,1,4,0,0,0,12,2,0,100
"00242b75","2018-2019","GER","Jr. U19 Bundesliga","9th","Mainz U19",18,17.7,9,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
"00242b75","2019-2020","GER","1. Bundesliga","13th","Mainz 05",19,10.4,4,0,0,30,23,0,2,8,25,0,0,0,131,16,29,35.6
"00242b75","2020-2021","GER","1. Bundesliga","12th","Mainz 05",20,25.6,5,0,0,71,50,0,6,50,39,0,2,0,297,56,55,50.5
"00242b75","2021-2022","GER","1. Bundesliga","9th","Mainz 05",21,12.2,2,0,0,29,19,0,5,28,24,0,0,0,103,17,20,45.9
"00459419","2006-2007","NED","1. Dutch Eredivisie","4th","Twente",17,0.3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2007-2008","NED","1. Dutch Eredivisie","4th","Twente",18,2.4,1,0,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00459419","2008-2009","NED","1. Dutch Eredivisie","2nd","Twente",19,25.2,3,0,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
