"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","passes_completed","passes","passes_pct","passes_total_distance","passes_progressive_distance","passes_completed_short","passes_short","passes_pct_short","passes_completed_medium","passes_medium","passes_pct_medium","passes_completed_long","passes_long","passes_pct_long","assists","xa","xa_net","assisted_shots","passes_into_final_third","passes_into_penalty_area","crosses_into_penalty_area","progressive_passes"
"0000acda","2012-2013","ITA","1. Serie A","9th","Inter",17,2.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2013-2014","ITA","1. Serie A","20th","Livorno",18,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2014-2015","ITA","1. Serie A","9th","Torino",19,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2015-2016","ITA","1. Serie A","12th","Torino",20,21.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2016-2017","ITA","1. Serie A","9th","Torino",21,22.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2017-2018","ITA","1. Serie A","8th","Fiorentina",22,30.9,994,1322,75.2,16901,5625,484,591,81.9,391,503,77.7,97,172,56.4,3,3.2,-0.2,38,112,36,10,152
"0000acda","2018-2019","ITA","1. Serie A","16th","Fiorentina",23,25.4,632,837,75.5,11015,3655,299,372,80.4,256,317,80.8,71,113,62.8,1,1.7,-0.7,25,74,22,11,97
"0000acda","2019-2020","ITA","1. Serie A","10th","Fiorentina",24,10.9,262,342,76.6,4465,1464,119,144,82.6,119,143,83.2,20,38,52.6,1,1.1,-0.1,18,23,10,6,35
"0000acda","2021-2022","ITA","1. Serie A","7th","Fiorentina",26,1.8,108,131,82.4,2140,618,44,49,89.8,45,56,80.4,19,23,82.6,0,0.1,-0.1,1,10,1,0,9
"00242715","2014-2015","FRA","2. Ligue 2","16th","Valenciennes",18,6.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2015-2016","FRA","2. Ligue 2","12th","Valenciennes",19,22.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2016-2017","FRA","2. Ligue 2","13th","Valenciennes",20,32.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2017-2018","FRA","1. Ligue 1","20th","Metz",21,34.5,1104,1417,77.9,25668,10283,273,325,84,551,642,85.8,271,424,63.9,1,0.3,0.7,3,107,6,1,94
"00242715","2018-2019","GER","1. Bundesliga","12th","Mainz 05",22,31,1260,1525,82.6,29047,9994,302,349,86.5,642,715,89.8,307,426,72.1,1,0.3,0.7,7,65,5,0,75
"00242715","2019-2020","GER","1. Bundesliga","13th","Mainz 05",23,33,1177,1450,81.2,27289,9847,293,327,89.6,604,683,88.4,271,403,67.2,2,1,1,12,91,7,1,100
"00242715","2020-2021","GER","1. Bundesliga","12th","Mainz 05",24,31.8,1131,1528,74,24796,10864,319,371,86,592,731,81,213,386,55.2,1,2,-1,15,97,13,4,112
"00242715","2021-2022","GER","1. Bundesliga","9th","Mainz 05",25,12.5,532,690,77.1,10851,4810,182,204,89.2,268,317,84.5,77,153,50.3,0,0.3,-0.3,5,50,4,1,55
"00242b75","2016-2017","GER","Jr. U17 Bundesliga","10th","Mainz U17",16,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242b75","2016-2017","GER","Jr. U19 Bundesliga","10th","Mainz U19",16,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242b75","2017-2018","GER","Jr. U19 Bundesliga","16th","Mainz U19",17,21.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242b75","2018-2019","GER","1. Bundesliga","12th","Mainz 05",18,1,22,34,64.7,512,165,7,12,58.3,10,14,71.4,5,8,62.5,0,0,0,1,4,0,0,3
