"id","season","country","comp_level","lg_finish","squad","age","minutes_90s","touches","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","dribbles_completed","dribbles","dribbles_completed_pct","players_dribbled_past","nutmegs","carries","carry_distance","carry_progressive_distance","progressive_carries","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","pass_targets","passes_received","passes_received_pct","progressive_passes_received"
"0000acda","2012-2013","ITA","1. Serie A","9th","Inter",17,2.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2013-2014","ITA","1. Serie A","20th","Livorno",18,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2014-2015","ITA","1. Serie A","9th","Torino",19,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2015-2016","ITA","1. Serie A","12th","Torino",20,21.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2016-2017","ITA","1. Serie A","9th","Torino",21,22.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"0000acda","2017-2018","ITA","1. Serie A","8th","Fiorentina",22,30.9,1688,35,276,904,618,92,1664,20,33,60.6,20,1,1143,5221,2795,148,61,7,44,31,1332,1157,86.9,225
"0000acda","2018-2019","ITA","1. Serie A","16th","Fiorentina",23,25.4,1070,34,165,556,421,80,1046,24,34,70.6,24,2,770,3667,2207,100,40,7,26,25,933,736,78.9,181
"0000acda","2019-2020","ITA","1. Serie A","10th","Fiorentina",24,10.9,449,12,96,193,195,29,438,7,13,53.8,7,0,295,1389,776,29,16,1,9,11,371,302,81.4,73
"0000acda","2021-2022","ITA","1. Serie A","7th","Fiorentina",26,1.8,147,6,43,74,39,4,133,1,1,100,1,1,97,390,150,7,3,0,1,1,109,101,92.7,3
"00242715","2014-2015","FRA","2. Ligue 2","16th","Valenciennes",18,6.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2015-2016","FRA","2. Ligue 2","12th","Valenciennes",19,22.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2016-2017","FRA","2. Ligue 2","13th","Valenciennes",20,32.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242715","2017-2018","FRA","1. Ligue 1","20th","Metz",21,34.5,1704,199,1003,737,104,20,1649,6,8,75,6,0,1062,7299,3834,88,30,0,2,5,933,916,98.2,21
"00242715","2018-2019","GER","1. Bundesliga","12th","Mainz 05",22,31,1836,208,1005,850,88,15,1768,6,9,66.7,6,0,1173,5772,2578,50,9,0,11,4,1126,1110,98.6,15
"00242715","2019-2020","GER","1. Bundesliga","13th","Mainz 05",23,33,1835,251,1016,866,96,28,1763,3,11,27.3,4,3,1106,7305,4368,84,15,2,10,6,1106,1081,97.7,24
"00242715","2020-2021","GER","1. Bundesliga","12th","Mainz 05",24,31.8,1833,212,887,839,228,24,1602,14,19,73.7,14,0,1014,6541,3687,93,33,6,11,13,1038,998,96.1,14
"00242715","2021-2022","GER","1. Bundesliga","9th","Mainz 05",25,12.5,813,106,397,363,95,6,692,5,7,71.4,5,3,423,2150,1111,30,10,0,5,6,441,423,95.9,4
"00242b75","2016-2017","GER","Jr. U17 Bundesliga","10th","Mainz U17",16,15.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242b75","2016-2017","GER","Jr. U19 Bundesliga","10th","Mainz U19",16,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"00242b75","2017-2018","GER","Jr. U19 Bundesliga","16th","Mainz U19",17,21.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
